BEVOEGD GEZAG NUMMER;INSTELLING;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;AANTAL LEERLINGEN;AANTAL VO LEERLINGEN UITBESTEED AAN VAVO
41775;15EO;15EO01;OSG Libanon Lyceum;ROTTERDAM;599;ROTTERDAM;Zuid-Holland;582;0
41775;15HX;15HX00;Thorbecke Talentsch Rotterdam;ROTTERDAM;599;ROTTERDAM;Zuid-Holland;913;15
41775;15HX;15HX02;Thorbecke Talentsch Rotterdam;ROTTERDAM;599;ROTTERDAM;Zuid-Holland;377;0
41775;15HX;15HX03;Thorbecke Talentsc Nieuwerkerk;NIEUWERKERK AD IJSSEL;1892;ZUIDPLAS;Zuid-Holland;388;<5
41775;15KR;15KR00;Wolfert van Borselen sgr;ROTTERDAM;599;ROTTERDAM;Zuid-Holland;1455;28
41775;15KR;15KR05;Sg Wolfert van Borselen;ROTTERDAM;599;ROTTERDAM;Zuid-Holland;485;<5
41775;15KR;15KR06;Sg Wolfert van Borselen;BERGSCHENHOEK;1621;LANSINGERLAND;Zuid-Holland;1128;9
41775;15KR;15KR09;Sg Wolfert van Borselen;ROTTERDAM;599;ROTTERDAM;Zuid-Holland;156;0
41775;15KR;15KR10;Sg Wolfert van Borselen;ROTTERDAM;599;ROTTERDAM;Zuid-Holland;625;0
41775;15KR;15KR11;Sg Wolfert van Borselen;ROTTERDAM;599;ROTTERDAM;Zuid-Holland;252;0
41775;15KR;15KR12;Sg Wolfert van Borselen;BERGSCHENHOEK;1621;LANSINGERLAND;Zuid-Holland;388;<5
41775;15KR;15KR14;Wolfert van Borselen sgr;ROTTERDAM;599;ROTTERDAM;Zuid-Holland;140;0
41775;15SC;15SC00;Erasmianum Gem Gymnasium;ROTTERDAM;599;ROTTERDAM;Zuid-Holland;1106;<5
41775;17CR;17CR00;Einstein Lyceum;HOOGVLIET ROTTERDAM;599;ROTTERDAM;Zuid-Holland;920;7
41789;02UV;02UV00;Gomarus College;GRONINGEN;14;GRONINGEN;Groningen;645;6
41789;02UV;02UV03;Gomarus College;DRACHTEN;90;SMALLINGERLAND;Friesland;382;<5
41789;02UV;02UV04;Gomarus College;LEEUWARDEN;80;LEEUWARDEN;Friesland;428;<5
41789;02UV;02UV05;Gomarus College;ASSEN;106;ASSEN;Drenthe;301;0
41789;02UV;02UV08;Gomarus College;GRONINGEN;14;GRONINGEN;Groningen;367;0
41789;02UV;02UV10;Gomarus College;GRONINGEN;14;GRONINGEN;Groningen;78;0
41789;02UV;02UV17;Gomarus College;GRONINGEN;14;GRONINGEN;Groningen;577;0
41789;02UV;02UV18;Gomarus College;GRONINGEN;14;GRONINGEN;Groningen;386;0
41804;00AH;00AH00;Het Stedelijk Kottenpark;ENSCHEDE;153;ENSCHEDE;Overijssel;1044;10
41804;00AH;00AH07;Het Stedelijk College Zuid;ENSCHEDE;153;ENSCHEDE;Overijssel;830;<5
41804;00AH;00AH08;Het Stedelijk Zwering;ENSCHEDE;153;ENSCHEDE;Overijssel;266;0
41804;00AH;00AH09;Het Stedelijk Innova;ENSCHEDE;153;ENSCHEDE;Overijssel;423;0
41804;00AH;00AH11;Het Stedelijk ISK;ENSCHEDE;153;ENSCHEDE;Overijssel;356;0
41804;00AH;00AH17;Het Stedelijk Alpha;ENSCHEDE;153;ENSCHEDE;Overijssel;343;0
41804;00AH;00AH18;Het Stedelijk Diekman;ENSCHEDE;153;ENSCHEDE;Overijssel;45;0
41804;00AH;00AH19;"Tienercollege Flor&#x00E8;s";ENSCHEDE;153;ENSCHEDE;Overijssel;66;0
41804;19NG;19NG00;Het Stedelijk Diekman;ENSCHEDE;153;ENSCHEDE;Overijssel;151;0
41815;03JY;03JY00;Calvijn College;GOES;664;GOES;Zeeland;1092;6
41815;03JY;03JY01;Calvijn College;MIDDELBURG;687;MIDDELBURG;Zeeland;397;0
41815;03JY;03JY02;Calvijn College;KRABBENDIJKE;703;REIMERSWAAL;Zeeland;472;0
41815;03JY;03JY03;Calvijn College;THOLEN;716;THOLEN;Zeeland;276;0
41815;03JY;03JY06;Calvijn College;KRABBENDIJKE;703;REIMERSWAAL;Zeeland;539;0
41815;03JY;03JY07;Calvijn College;GOES;664;GOES;Zeeland;91;0
41815;03JY;03JY08;Calvijn College;GOES;664;GOES;Zeeland;240;0
41824;20CS;20CS00;OSG Hengelo;HENGELO OV;164;HENGELO;Overijssel;664;6
41824;20CS;20CS04;C.T. Stork College;HENGELO OV;164;HENGELO;Overijssel;241;0
41824;20CS;20CS07;Montessori College Twente;HENGELO OV;164;HENGELO;Overijssel;1433;10
41824;23EJ;23EJ00;T Genseler;HENGELO OV;164;HENGELO;Overijssel;201;0
41830;21GD;21GD00;Calandlyceum;AMSTERDAM;363;AMSTERDAM;Noord-Holland;1648;10
41830;21GD;21GD01;locatie, Lumion;AMSTERDAM;363;AMSTERDAM;Noord-Holland;1518;9
41830;21GD;21GD02;De Toekomst;AMSTERDAM-DUIVENDRECHT;437;OUDER-AMSTEL;Noord-Holland;76;0
41840;01XL;01XL00;Strabrechtcollege;GELDROP;1771;GELDROP-MIERLO;Noord-Brabant;1145;<5
41840;20BK;20BK00;Stedelijk College Eindhoven;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;1387;21
41840;20BK;20BK01;Stedelijk College Eindhoven;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;989;0
41840;20BK;20BK03;Stedelijk College Eindhoven;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;701;0
41854;00EF;00EF00;VOvA(3);AMSTERDAM;363;AMSTERDAM;Noord-Holland;528;0
