PC4 Code,Gemeente Code,Gemeente Name,Total Employment 2018-19,Total Across Categories,"Advisering, onderzoek en overige specialistische zakelijke dienstverlening",Bouwnijverheid,"Cultuur, sport en recreatie",Detailhandel,Extraterritoriale organisaties en lichamen,Financiële instellingen,Gezondheids- en welzijnszorg,Groothandel,Industrie,Informatie en communicatie,"Landbouw, bosbouw en visserij","Logies-, maaltijd- en drankverstrekking",Onderwijs,"Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen",Overige dienstverlening,"Productie en distributie van en handel in elektriciteit, aardgas, stoom en gekoelde lucht",Verhuur van en handel in onroerend goed,Verhuur van roerende goederen en overige zakelijke dienstverlening,Vervoer en opslag,Winning en distributie van water: afval- en afvalwaterbeheer en sanering,Winning van delfstoffen 
2026,392,Haarlem,1140,1120,90,60,40,70,0,0,600,10,0,30,10,50,80,0,40,0,0,30,10,0,0
2031,392,Haarlem,14257,14250,1080,750,160,1040,0,90,140,1900,4010,920,0,200,50,10,40,470,90,710,2260,330,0
2032,392,Haarlem,1439,1440,140,160,90,170,0,0,320,30,50,130,0,100,110,0,50,0,10,50,30,0,0
2033,392,Haarlem,2731,2720,290,170,90,280,0,30,760,60,140,290,0,60,120,30,50,0,60,200,90,0,0
2034,392,Haarlem,1760,1760,210,140,90,160,0,0,480,60,10,60,10,40,340,0,40,0,0,60,60,0,0
2035,392,Haarlem,4901,4910,200,80,40,280,0,0,3310,10,30,40,0,160,330,340,10,0,0,30,50,0,0
2036,392,Haarlem,1199,1180,90,80,60,140,0,0,460,10,10,30,0,60,120,0,40,0,10,30,40,0,0
2037,392,Haarlem,1512,1520,50,70,20,750,0,10,170,10,10,30,0,90,100,20,70,0,20,30,70,0,0
2041,473,Zandvoort,1864,1870,140,120,140,210,0,20,140,80,30,40,0,620,120,0,60,0,20,80,50,0,0
2042,473,Zandvoort,3523,3520,300,170,280,590,0,20,750,70,20,60,0,700,170,140,80,0,40,80,50,0,0
2051,377,Bloemendaal,2025,2030,290,30,100,160,0,10,190,50,20,50,10,480,230,310,20,0,40,20,0,20,0
2061,377,Bloemendaal,2041,2050,390,30,70,270,0,50,640,60,20,40,0,170,180,0,50,0,50,30,0,0,0
2063,392,Haarlem,163,150,20,10,0,10,0,0,20,20,10,0,0,40,20,0,0,0,0,0,0,0,0
2064,394,Haarlemmermeer,759,750,110,80,40,190,0,0,70,20,10,30,20,30,50,20,30,0,10,30,10,0,0
2065,394,Haarlemmermeer,215,210,10,10,10,0,0,0,20,20,0,0,0,100,10,10,20,0,0,0,0,0,0
