PROVINCIE;BEVOEGD GEZAG NUMMER;INSTELLINGSCODE;VESTIGINGSCODE;VESTIGINGSNAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;ONDERWIJSSTRUCTUUR;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;NODAAL GEBIED CODE;NODAAL GEBIED NAAM;RPA-GEBIED CODE;RPA-GEBIED NAAM;WGR-GEBIED CODE;WGR-GEBIED NAAM;COROPGEBIED CODE;COROPGEBIED NAAM;ONDERWIJSGEBIED CODE;ONDERWIJSGEBIED NAAM;RMC-REGIO CODE;RMC-REGIO NAAM;VAKANTIEREGIO
Overijssel;35647;01VJ;01VJ04;Etty Hillesum Lyceum voor Gymnasium Atheneum Havo Vmbo Pro;Het Vlier;1;7414 AR;DEVENTER;0150;DEVENTER;Bijzonder;0570504620; ;HAVO/VWO;Het Vlier;1;7414 AR;DEVENTER;20;Deventer;09;Stedendriehoek;11;Stedendriehoek;11;Zuidwest-Overijssel;07;Apeldoorn en midden-IJsselgebied;11;Stedendriehoek;Noord
Overijssel;35647;01VJ;01VJ05;Etty Hillesum Lyceum voor Gymnasium Atheneum Havo Vmbo Pro;Ludgerstraat;1;7415 DV;DEVENTER;0150;DEVENTER;Bijzonder;0570504730; ;VBO/MAVO;Ludgerstraat;1;7415 DV;DEVENTER;20;Deventer;09;Stedendriehoek;11;Stedendriehoek;11;Zuidwest-Overijssel;07;Apeldoorn en midden-IJsselgebied;11;Stedendriehoek;Noord
Overijssel;35647;01VJ;01VJ06;Etty Hillesum Lyceum voor Gymnasium Atheneum Havo Vmbo Pro;Arkelstein;8;7414 EP;DEVENTER;0150;DEVENTER;Bijzonder;0570504600; ;PRO;Arkelstein;8;7414 EP;DEVENTER;20;Deventer;09;Stedendriehoek;11;Stedendriehoek;11;Zuidwest-Overijssel;07;Apeldoorn en midden-IJsselgebied;11;Stedendriehoek;Noord
Overijssel;35647;01VJ;01VJ12;Etty Hillesum Lyceum voor Gymnasium Atheneum Havo Vmbo Pro;Koningin Wilhelminalaan;16;7415 KS;DEVENTER;0150;DEVENTER;Bijzonder;0570626115;www.ettyhillesumlyceum.nl;BRUGJAAR;Postbus;864;7550 AW;HENGELO OV;20;Deventer;09;Stedendriehoek;11;Stedendriehoek;11;Zuidwest-Overijssel;07;Apeldoorn en midden-IJsselgebied;11;Stedendriehoek;Noord
Overijssel;35647;01VJ;01VJ13;Etty Hillesum Lyceum voor Gymnasium Atheneum Havo Vmbo Pro;Laan van Borgele;60;7415 DJ;DEVENTER;0150;DEVENTER;Bijzonder; ; ;VBO/MAVO/HAVO/VWO;Postbus;199;7400 AD;DEVENTER;20;Deventer;09;Stedendriehoek;11;Stedendriehoek;11;Zuidwest-Overijssel;07;Apeldoorn en midden-IJsselgebied;11;Stedendriehoek;Noord
Overijssel;35647;01VJ;01VJ14;Etty Hillesum Lyceum voor Gymnasium Atheneum Havo Vmbo Pro;Zwaluwenburg;10;7423 DS;DEVENTER;0150;DEVENTER;Overige; ; ;VBO/MAVO; ; ; ; ;20;Deventer;09;Stedendriehoek;11;Stedendriehoek;11;Zuidwest-Overijssel;07;Apeldoorn en midden-IJsselgebied;11;Stedendriehoek;Noord
Overijssel;35647;02EK;02EK00;Pius X College Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;Cesar Franckstraat;4;7604 JG;ALMELO;0141;ALMELO;Bijzonder;0546540808;www.piusx.nl;VBO/MAVO/HAVO/VWO;Cesar Franckstraat;4;7604 JG;ALMELO;21;Almelo;07;Twente;12;Twente;12;Twente;06;Twente;12;Twente;Noord
Overijssel;35647;02EK;02EK01;Pius X College Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;Catharina van Renneslaan;35;7604 KV;ALMELO;0141;ALMELO;Bijzonder;0546860066;www.piusx.nl;VBO/MAVO;Catharina van Renneslaan;35;7604 KV;ALMELO;21;Almelo;07;Twente;12;Twente;12;Twente;06;Twente;12;Twente;Noord
Overijssel;35647;02EK;02EK02;Pius X College Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;Graaf Ottostraat;48;7461 CW;RIJSSEN;1742;RIJSSEN-HOLTEN;Bijzonder;0548512245;www.piusx.nl;VBO/MAVO;Graaf Ottostraat;48;7461 CW;RIJSSEN;21;Almelo;07;Twente;12;Twente;12;Twente;06;Twente;12;Twente;Noord
Overijssel;35647;04OY;04OY00;Carmel College Salland Katholieke Scholengemeenschap;Florens Radewijnsstraat;6;8101 BW;RAALTE;0177;RAALTE;Bijzonder;0572348500;www.carmelcollegesalland.nl;VBO/MAVO;Postbus;87;8100 AB;RAALTE;20;Deventer;06;IJssel en Vecht;10;IJssel-Vecht;11;Zuidwest-Overijssel;07;Apeldoorn en midden-IJsselgebied;10;IJssel-Vecht;Noord
