PEILDATUM;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;CLUSTER;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20181001;00SH;0;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;935;Maastricht;Limburg;Vso;3-apr;Rooms-Katholiek;41373;0;0;0;0;0;0;0;0;0;19;23;31;53;23;22;4;0;0;0;0;0;0;0;175
20181001;00SI;0;OZC Orion;2353GA;LEIDERDORP;547;Leiderdorp;Zuid-Holland;So;3-apr;Openbaar;42504;0;9;14;4;2;7;3;5;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;56
20181001;00SL;0;Stichting Mozarthof;1217CM;HILVERSUM;402;Hilversum;Noord-Holland;So;3-apr;Algemeen bijzonder;41290;0;1;3;12;9;9;4;11;12;3;0;0;0;0;0;0;0;0;0;0;0;0;0;64
20181001;00SL;0;Stichting Mozarthof;1217CM;HILVERSUM;402;Hilversum;Noord-Holland;Vso;3-apr;Algemeen bijzonder;41290;0;0;0;0;0;0;0;0;0;6;15;16;15;11;18;16;18;0;0;0;0;0;0;115
20181001;00SO;0;Hamalandschool;7131VB;LICHTENVOORDE;1586;Oost Gelre;Gelderland;So;3-apr;Algemeen bijzonder;40631;0;0;2;2;0;4;9;6;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;31
20181001;00SQ;0;SSBO Focus;5801AP;VENRAY;984;Venray;Limburg;Sbo;nvt;Rooms-Katholiek;44397;0;4;2;10;12;8;25;12;14;6;0;0;0;0;0;0;0;0;0;0;0;0;0;93
20181001;00SU;0;Opb. School v. ZMLK Emmen;7812GE;EMMEN;114;Emmen;Drenthe;So;3-apr;Openbaar;10249;0;0;4;5;5;10;6;10;9;7;3;0;0;0;0;0;0;0;0;0;0;0;0;59
20181001;00SU;0;Opb. School v. ZMLK Emmen;7812GE;EMMEN;114;Emmen;Drenthe;Vso;3-apr;Openbaar;10249;0;0;0;0;0;0;0;0;0;4;17;16;17;12;15;9;0;0;0;0;0;0;0;90
20181001;00TN;0;SSBO Op de Tump;6097AH;HEEL;1641;Maasgouw;Limburg;Sbo;nvt;Algemeen bijzonder;23961;0;0;3;5;4;18;12;25;24;16;0;0;0;0;0;0;0;0;0;0;0;0;0;107
20181001;00TO;0;Talita Koemi School;6532CL;NIJMEGEN;268;Nijmegen;Gelderland;So;3-apr;Rooms-Katholiek;41531;0;3;5;8;6;10;10;6;17;6;0;0;0;0;0;0;0;0;0;0;0;0;0;71
20181001;00TO;0;Talita Koemi School;6532CL;NIJMEGEN;268;Nijmegen;Gelderland;Vso;3-apr;Rooms-Katholiek;41531;0;0;0;0;0;0;0;0;0;8;13;18;10;22;23;8;0;0;0;0;0;0;0;102
20181001;00UE;0;SBO De Steenen Kamer;3332KP;ZWIJNDRECHT;642;Zwijndrecht;Zuid-Holland;Sbo;nvt;Algemeen bijzonder;41417;0;3;2;9;17;12;28;36;26;27;1;0;0;0;0;0;0;0;0;0;0;0;0;161
20181001;00UI;0;SSBO St Michael;3814RV;AMERSFOORT;307;Amersfoort;Utrecht;Sbo;nvt;Rooms-Katholiek;71488;0;1;1;9;9;23;25;32;32;13;0;0;0;0;0;0;0;0;0;0;0;0;0;145
20181001;00UN;0;Tijstroom;1503TS;ZAANDAM;479;Zaanstad;Noord-Holland;Sbo;nvt;Interconfessioneel;41251;0;4;9;8;12;20;12;15;16;9;0;0;0;0;0;0;0;0;0;0;0;0;0;105
20181001;00UT;0;BLO School Lataste;6085AT;HORN;1640;Leudal;Limburg;So;3-apr;Rooms-Katholiek;41008;0;2;2;9;16;19;19;31;26;21;2;0;0;0;0;0;0;0;0;0;0;0;0;147
20181001;00UY;0;SBO Beatrix de Burcht;4205NK;GORINCHEM;512;Gorinchem;Zuid-Holland;Sbo;nvt;Protestants-Christelijk;41396;0;1;5;16;14;7;24;29;32;11;0;0;0;0;0;0;0;0;0;0;0;0;0;139
20181001;00VD;0;RK SSBO Het Kompas;4871XA;ETTEN-LEUR;777;Etten-Leur;Noord-Brabant;Sbo;nvt;Rooms-Katholiek;55303;0;1;6;4;10;16;31;33;22;12;0;0;0;0;0;0;0;0;0;0;0;0;0;135
20181001;00VV;0;Prof Fritz Redlschool;3584CX;UTRECHT;344;Utrecht;Utrecht;So;3-apr;Algemeen bijzonder;48856;0;0;0;1;5;3;4;5;12;3;1;0;0;0;0;0;0;0;0;0;0;0;0;34
20181001;00VV;0;Prof Fritz Redlschool;3584CX;UTRECHT;344;Utrecht;Utrecht;Vso;3-apr;Algemeen bijzonder;48856;0;0;0;0;0;0;0;0;0;3;2;3;1;12;11;5;3;0;0;0;0;0;0;40
20181001;00VW;0;De Kameleon;3351ED;PAPENDRECHT;590;Papendrecht;Zuid-Holland;Sbo;nvt;Algemeen bijzonder;41417;0;1;8;12;13;13;30;24;20;14;1;0;0;0;0;0;0;0;0;0;0;0;0;136
20181001;00WK;0;SSBO De Wingerd;5431LZ;CUIJK;1684;Cuijk;Noord-Brabant;Sbo;nvt;Openbaar;41443;0;3;5;5;16;15;15;18;16;10;0;0;0;0;0;0;0;0;0;0;0;0;0;103
20181001;00WO;0;SBO;2566EA;'S-GRAVENHAGE;518;'s-Gravenhage;Zuid-Holland;Sbo;nvt;Algemeen bijzonder;95694;0;11;6;11;10;15;11;15;10;9;4;0;0;0;0;0;0;0;0;0;0;0;0;102
20181001;00YG;0;SBO De Twister;5961BA;HORST;1507;Horst aan de Maas;Limburg;Sbo;nvt;Rooms-Katholiek;47920;0;2;5;10;11;7;11;17;18;3;0;0;0;0;0;0;0;0;0;0;0;0;0;84
20181001;00ZF;0;De Atlas;9402KH;ASSEN;106;Assen;Drenthe;Vso;3-apr;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;0;9;10;20;27;21;10;4;0;0;0;0;0;0;0;101
20181001;00ZF;1;De Atlas;7825SE;EMMEN;114;Emmen;Drenthe;Vso;3-apr;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;0;16;18;25;44;35;25;4;1;0;0;0;0;0;0;168
20181001;00ZF;14;De Atlas;7903AA;HOOGEVEEN;118;Hoogeveen;Drenthe;Vso;3-apr;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;0;10;14;13;18;21;23;4;0;0;0;0;0;0;0;103
20181001;00ZF;15;De Atlas;9406HK;ASSEN;106;Assen;Drenthe;Vso;3-apr;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;0;3;6;9;22;11;6;2;1;0;0;0;0;0;0;60
20181001;00ZN;0;Het Sloepje - Het Reliëf;7531HX;ENSCHEDE;153;Enschede;Overijssel;So;3-apr;Algemeen bijzonder;25859;0;3;5;13;20;17;19;30;19;10;1;0;0;0;0;0;0;0;0;0;0;0;0;137
20181001;00ZR;0;SSBO De Schilderspoort;6903PZ;ZEVENAAR;299;Zevenaar;Gelderland;Sbo;nvt;Algemeen bijzonder;40901;0;8;20;17;30;25;42;39;46;15;0;0;0;0;0;0;0;0;0;0;0;0;0;242
20181001;00ZS;0;SSBO Elim;7462TK;RIJSSEN;1742;Rijssen-Holten;Overijssel;Sbo;nvt;Protestants-Christelijk;77196;0;6;4;6;8;17;18;14;13;20;0;0;0;0;0;0;0;0;0;0;0;0;0;106
20181001;01AC;0;SSBO De Driemaster;8251GP;DRONTEN;303;Dronten;Flevoland;Sbo;nvt;Algemeen bijzonder;61778;0;1;2;7;11;8;13;14;26;10;0;0;0;0;0;0;0;0;0;0;0;0;0;92
