PEILDATUM;INSTELLINGSCODE;VESTIGINGSCODE;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;CLUSTER;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20221001;01CN;00;'t Iemenschoer;7556WS;HENGELO OV; 164;Hengelo;Overijssel;Vso;  3;Algemeen bijzonder;83189;0;0;0;0;0;0;0;0;2;8;23;20;21;26;14;19;5;1;0;0;0;0;0;139
20221001;01CX;00;SSBO De Vonder;7776BE;SLAGHAREN; 160;Hardenberg;Overijssel;Sbo;nvt;Rooms-Katholiek;40888;0;5;9;8;6;10;8;11;15;9;0;0;0;0;0;0;0;0;0;0;0;0;0;81
20221001;01DM;00;SSBO Het Mozaiek;6135GC;SITTARD;1883;Sittard-Geleen;Limburg;Sbo;nvt;Rooms-Katholiek;83280;0;3;7;11;14;17;15;31;25;22;1;0;0;0;0;0;0;0;0;0;0;0;0;146
20221001;01FJ;00;SSBO De Prinsenhof;7316DK;APELDOORN; 200;Apeldoorn;Gelderland;Sbo;nvt;Protestants-Christelijk;72464;0;2;6;14;7;17;12;18;14;7;0;0;0;0;0;0;0;0;0;0;0;0;0;97
20221001;01FN;00;SSBO SAM, loc Boddens Hosang;7002JA;DOETINCHEM; 222;Doetinchem;Gelderland;Sbo;nvt;Algemeen bijzonder;40631;0;0;0;0;0;15;17;27;42;9;0;0;0;0;0;0;0;0;0;0;0;0;0;110
20221001;01FX;00;ZML De Bodde;5044EL;TILBURG; 855;Tilburg;Noord-Brabant;So;  3;Rooms-Katholiek;73114;0;0;18;18;18;31;21;20;30;14;0;0;0;0;0;0;0;0;0;0;0;0;0;170
20221001;01FX;00;ZML De Bodde;5044EL;TILBURG; 855;Tilburg;Noord-Brabant;Vso;  3;Rooms-Katholiek;73114;0;0;0;0;0;0;0;0;0;22;34;28;27;32;25;9;1;0;0;0;0;0;0;178
20221001;01GE;00;SSBO De Horst;6101NM;ECHT;1711;Echt-Susteren;Limburg;Sbo;nvt;Algemeen bijzonder;83280;0;5;7;7;9;14;22;19;30;16;0;0;0;0;0;0;0;0;0;0;0;0;0;129
20221001;01GF;00;SO4 De Windroos;6545LX;NIJMEGEN; 268;Nijmegen;Gelderland;So;  4;Rooms-Katholiek;29810;0;0;0;0;3;4;9;15;15;8;0;0;0;0;0;0;0;0;0;0;0;0;0;54
20221001;01GQ;00;RK SSBO Carolus;6561AR;GROESBEEK;1945;Berg en Dal;Gelderland;Sbo;nvt;Rooms-Katholiek;42486;0;0;5;2;2;11;7;7;11;7;0;0;0;0;0;0;0;0;0;0;0;0;0;52
20221001;01JE;00;De Ommezwaai;6826TJ;ARNHEM; 202;Arnhem;Gelderland;So;  4;Algemeen bijzonder;40631;0;0;1;7;5;18;19;25;25;19;1;0;0;0;0;0;0;0;0;0;0;0;0;120
20221001;01JE;01;De Fonkel;6713KM;EDE GLD; 228;Ede;Gelderland;So;  4;Algemeen bijzonder;40631;0;0;2;11;14;14;22;22;28;23;2;0;0;0;0;0;0;0;0;0;0;0;0;138
20221001;01JH;00;Meforta College;6671DN;ZETTEN;1734;Overbetuwe;Gelderland;Vso;  4;Protestants-Christelijk;40631;0;0;0;0;0;0;0;0;0;0;0;0;7;5;5;0;0;0;0;0;0;0;0;17
20221001;01JH;02;De Brouwerij;6814MK;ARNHEM; 202;Arnhem;Gelderland;So;  4;Protestants-Christelijk;40631;0;3;5;3;4;4;11;19;23;11;4;0;1;0;0;0;0;0;0;0;0;0;0;88
20221001;01JH;04;Meforta College;6671DN;ZETTEN;1734;Overbetuwe;Gelderland;Vso;  4;Protestants-Christelijk;40631;0;0;0;0;0;0;0;0;0;1;8;4;14;21;20;6;0;0;0;0;0;0;0;74
20221001;01JH;05;Sgm. so/vso De Brouwerij;6861EE;OOSTERBEEK; 274;Renkum;Gelderland;Vso;  4;Protestants-Christelijk;40631;0;0;0;0;0;0;0;0;1;9;30;17;17;19;10;2;2;0;0;0;0;0;0;107
20221001;01JH;08;De Brouwerij/Olympus;6832EL;ARNHEM; 202;Arnhem;Gelderland;Vso;  4;Protestants-Christelijk;40631;0;0;0;0;0;0;0;0;0;0;0;6;7;12;5;0;0;0;0;0;0;0;0;30
20221001;01JO;00;Auris Prof. Groenschool;3813VE;AMERSFOORT; 307;Amersfoort;Utrecht;So;Cluster 2;Algemeen bijzonder;41314;0;21;34;35;27;27;23;19;23;11;4;0;0;0;0;0;0;0;0;0;0;0;0;224
20221001;01JO;02;Auris De Kring;4461DS;GOES; 664;Goes;Zeeland;So;Cluster 2;Algemeen bijzonder;41314;0;3;7;20;16;15;23;17;19;12;1;0;0;0;0;0;0;0;0;0;0;0;0;133
20221001;01JO;03;Auris College Leiden;2324VN;LEIDEN; 546;Leiden;Zuid-Holland;Vso;Cluster 2;Protestants-Christelijk;41314;0;0;0;0;0;0;0;0;0;4;23;16;11;8;8;2;0;0;0;0;0;0;0;72
20221001;01JO;04;de Weerklank;2332KV;LEIDEN; 546;Leiden;Zuid-Holland;So;Cluster 2;Protestants-Christelijk;41314;0;7;15;21;17;13;15;10;15;12;1;0;0;0;0;0;0;0;0;0;0;0;0;126
20221001;01JO;05;Auris De Taaltuin;2402VA;ALPHEN AAN DEN RIJN; 484;Alphen aan den Rijn;Zuid-Holland;So;Cluster 2;Protestants-Christelijk;41314;0;6;11;17;14;8;7;15;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;88
20221001;01JO;06;De Spreekhoorn;4812GE;BREDA; 758;Breda;Noord-Brabant;So;Cluster 2;Rooms-Katholiek;41314;0;14;30;37;28;21;21;12;16;9;0;0;0;0;0;0;0;0;0;0;0;0;0;188
20221001;01JO;07;Auris Florant;5042CS;TILBURG; 855;Tilburg;Noord-Brabant;So;Cluster 2;Rooms-Katholiek;41314;0;12;34;34;44;22;17;10;17;9;1;0;0;0;0;0;0;0;0;0;0;0;0;200
20221001;01JO;08;Auris Montaal;4621CH;BERGEN OP ZOOM; 748;Bergen op Zoom;Noord-Brabant;So;Cluster 2;Rooms-Katholiek;41314;0;5;15;15;18;23;12;10;10;8;2;0;0;0;0;0;0;0;0;0;0;0;0;118
20221001;01JO;09;Auris College;3067PW;ROTTERDAM; 599;Rotterdam;Zuid-Holland;Vso;Cluster 2;Algemeen bijzonder;41314;0;0;0;0;0;0;0;0;1;13;20;11;21;8;8;5;1;1;0;0;0;0;0;89
20221001;01JO;10;Auris Hildernisseschool;3028XW;ROTTERDAM; 599;Rotterdam;Zuid-Holland;So;Cluster 2;Algemeen bijzonder;41314;0;15;22;14;25;20;22;12;14;14;0;0;0;0;0;0;0;0;0;0;0;0;0;158
20221001;01JO;11;Auris Taalplein;2805AR;GOUDA; 513;Gouda;Zuid-Holland;So;Cluster 2;Algemeen bijzonder;41314;0;6;19;15;17;7;7;7;14;5;0;0;0;0;0;0;0;0;0;0;0;0;0;97
20221001;01JO;12;Auris Rotsoord;3523CL;UTRECHT; 344;Utrecht;Utrecht;So;Cluster 2;Algemeen bijzonder;41314;0;21;26;33;23;23;13;11;15;10;1;0;0;0;0;0;0;0;0;0;0;0;0;176
20221001;01JO;13;Auris Ammanschool;3319HR;DORDRECHT; 505;Dordrecht;Zuid-Holland;So;Cluster 2;Algemeen bijzonder;41314;0;8;21;15;17;15;12;10;8;13;1;0;0;0;0;0;0;0;0;0;0;0;0;120
20221001;01JO;14;Auris Dr. M. Polanoschool;3076EB;ROTTERDAM; 599;Rotterdam;Zuid-Holland;So;Cluster 2;Algemeen bijzonder;41314;4;13;12;14;10;6;12;14;14;5;0;0;0;0;0;0;0;0;0;0;0;0;0;104
20221001;01JO;15;Auris Fortaal;3563VJ;UTRECHT; 344;Utrecht;Utrecht;So;Cluster 2;Algemeen bijzonder;41314;0;29;43;47;33;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164
